consent,captcha_code,language_question,rank_statement_19,explanation_statement_19,rank_statement_20,explanation_statement_20,rank_statement_21,explanation_statement_21,rank_statement_22,explanation_statement_22,rank_statement_23,explanation_statement_13,rank_statement_24,explanation_statement_24,mturk_ID_consent,feedback,year,month,day,hour,minute,second
Yes,WBNS9J,wealthy,disagree,I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,disagree,I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.,disagree,I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,disagree,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,disagree,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,Straightforward survey altogether.,2020,11,25,11,35,16
Yes,205PCL,wealthy,disagree,I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,neutral,I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.,disagree,I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.,strongly disagree,I do not endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,neutral,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,It was fun!,2020,11,25,11,35,13
Yes,3E23FN,wealthy,agree,I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,agree,I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.,agree,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,agree,I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.,agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,no,2020,11,25,11,44,5
Yes,FJ6GAH,wealthy,strongly agree,I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.,strongly agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,neutral,I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,neutral,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,agree,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,This is an interesting study.,2020,11,25,12,55,51
Yes,NIWALF,wealthy,neutral,I do not endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,strongly agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,strongly disagree,I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,agree,I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.,strongly disagree,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,"NA",2020,11,25,11,50,25
Yes,FG3JK,wealthy,disagree,I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,disagree,I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.,disagree,I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,disagree,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,strongly disagree,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,It was an interesting survey.,2020,11,25,11,33,49
Yes,VICR8D,wealthy,disagree,I do endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,disagree,I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,agree,I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.,disagree,I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,"No, but thanks for the HIT!  I did my best and hope the data is useful!",2020,11,25,11,20,8
Yes,SNSM6,wealthy,agree,I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.,agree,I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.,strongly agree,I do not endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,agree,I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,neutral,I do not endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.,neutral,I do not endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,good,2020,11,25,12,28,28
Yes,SFZ1UG,wealthy,strongly agree,I do endorse the statement that Nicole A is a cancer patient. I do endorse the statement that Nicole is terminally ill.,agree,I do not endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.,agree,I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;I do not endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.,strongly agree,I do not endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;I do not endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,agree,I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,agree,I do endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.;I do not endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.,Yes,nice survey,2020,11,25,11,12,26
Yes,80UA6P,'healthy' 'employed' 'wealthy' 'favoured' 'mature' 'pleasant',strongly agree,I do not endorse the statement that Nicole A is a cancer patient. I do not endorse the statement that Nicole is terminally ill.,strongly agree,I do endorse the statement that Chris P is a waiter. I do endorse the statement that Chris P has profound knowledge of the menu.;I do endorse the statement that Chris P is a waiter. I do not endorse the statement that Chris P has profound knowledge of the menu.,strongly agree,I do endorse the statement that Daisy M is a crying baby. I do endorse the statement that Daisy M is hungry.;I do endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.;I do not endorse the statement that Daisy M is a crying baby. I do not endorse the statement that Daisy M is hungry.,strongly agree,I do endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;I do endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.;I do not endorse the statement that Bryce V is a dentist. I do endorse the statement that Bryce V does have perfect teeth.;I do not endorse the statement that Bryce V is a dentist. I do not endorse the statement that Bryce V does have perfect teeth.,strongly agree,I do endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;I do endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.;I do not endorse the statement that Alicia E watches movies. I do endorse the statement that Alicia E does watch romantic comedies.;I do not endorse the statement that Alicia E watches movies. I do not endorse the statement that Alicia E does watch romantic comedies.,strongly agree,I do endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;I do endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.;I do not endorse the statement that Jessica B is a yoga instructor. I do endorse the statement that Jessica B is a yoga instructor.;I do not endorse the statement that Jessica B is a yoga instructor. I do not endorse the statement that Jessica B is a yoga instructor.,Yes,good,2020,11,25,11,23,43
